workflow,process,n,n_c,strategy,lr_sizey_MAPE,lr_joint_MAPE,knn_sizey_MAPE,knn_joint_MAPE,mlp_sizey_MAPE,mlp_joint_MAPE,rf_sizey_MAPE,rf_joint_MAPE,lgbm_sizey_MAPE,lgbm_joint_MAPE,ngb_sizey_MAPE,ngb_joint_MAPE
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV,6,6,global_fallback,8720.247599439115,7336.842145494514,15314.45960586129,15.147736913156313,5653.743659264293,3404.741465096245,733.8967733755194,7.717427106459763,6801.877453658587,250.1077362371784,2472355.120249556,2029.6384905877785
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG,6,6,global_fallback,10186.795944111884,9005.051665341007,1613.758251067561,55.16444110319981,6622.434789541709,4931.833228606779,378.98800801990456,19.609044825660007,6724.797349465126,71.0614490174722,14754.82346538864,6388.953924277973
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAMTOOLS_FILTER,6,6,global_fallback,3048.864320616156,2847.1318018612797,1066.0427622223538,62.22302327845483,2580.5050215502256,2370.2844194637423,316.07065897842153,17.57597020467377,2482.207522517242,34.692473966955895,3.8588453183608033e+25,66432.31015198088
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS,6,6,global_fallback,1522.4883007659198,1550.6925581136163,623.9673786943617,653.0127619998584,1264.811666557248,1739.4806695490645,227.260091614993,117.73064470127758,1275.6188430223137,719.8597403910662,1509.5646496551738,3.0357717120194037e+46
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,6,6,global_fallback,9852.570115232733,9209.7308698594,29.7293257959975,67.0527793591569,6211.508171714059,5938.532794977097,85.98996033418678,6.347344800721349,5495.428357838893,101.59333373160557,5957.470765103743,12612.145652613888
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,6,6,global_fallback,5315.176726669221,7051.017140867559,8.323766572575902,8.464505181612246,22370.741210936252,82.19402145636113,4.693782813204005,3.935843436008104,19655.943540324075,10.207383652199363,19119.19109971581,102.36643031238496
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,6,6,global_fallback,8649.039549591846,8139.767219589093,32.70671586780903,33.624391027020835,5482.163158711567,5390.25338277048,48.01784651435568,9.24979750116774,4951.391730032343,128.02152957683867,5284.0639395457265,3603.7683855798136
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,6,6,global_fallback,9688.584313905483,9021.737420753067,28.444673371454247,58.48251661530649,6103.588243964674,5733.508402937153,83.49724269147838,108.16515348365537,5393.463631160108,187.27140121397807,5850.600855742395,9136.965183652772
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,6,6,global_fallback,11353.94803232518,10490.319742487342,3382.0920771358274,133.45769714806286,9293.871557321801,8156.565189342288,376.271965190947,42.45284565963381,9112.706866683215,107.85398553398039,6.882050370799202e+93,87767.3887617276
chipseq,NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT,6,6,global_fallback,7567.751069189983,6912.186265939312,1895.0518039746248,166.52150522281065,5546.7887224779015,4788.056767654295,276.24734206665727,69.82014038537714,4839.419319349176,71.18663857308711,7.395215829403522e+66,2292.8786887119613
