workflow,process,task_hash,a_bytes,c_bytes,M_peak_rss_bytes,M_cgroup_peak_bytes,runtime_seconds
iwd,transectAnalysis,02cc5269,291777600,,1884614656,1884614656,151.265
iwd,transectAnalysis,8a97b6b1,272780291,,1809293312,1809293312,8.404
iwd,transectAnalysis,6a4ce3c8,263824886,,1766604800,1766604800,44.562
iwd,transectAnalysis,47274def,287106636,,1869029376,1869029376,152.341
iwd,transectAnalysis,11df98e3,280111149,,1839337472,1839337472,103.924
iwd,transectAnalysis,52a4cb30,262619762,,1763258368,1763258368,4.264
iwd,transectAnalysis,74d6af43,262344254,,1679659008,1679659008,4.352
iwd,transectAnalysis,46fb62e8,262290261,,1754464256,1754464256,81.526
iwd,transectAnalysis,fd3ae436,281991361,,1854689280,1854689280,215.451
iwd,transectAnalysis,7424b8ec,285322221,,1863036928,1863036928,131.482
iwd,transectAnalysis,c067e4a0,284123279,,1858658304,1858658304,90.065
iwd,transectAnalysis,9509c87f,264802587,,1775271936,1775271936,4.92
iwd,transectAnalysis,fa061072,279171524,,1840173056,1840173056,122.385
iwd,transectAnalysis,efd06dd9,281021734,,1845895168,1845895168,57.784
iwd,transectAnalysis,5c068b87,264606867,,1767747584,1767747584,4.632
iwd,transectAnalysis,c58b70d2,263620408,,1760681984,1760681984,4.356
iwd,transectAnalysis,052779e1,265551250,,1777496064,1777496064,6.096
iwd,transectAnalysis,05cf1a74,286965630,,1866248192,1866248192,245.394
iwd,transectAnalysis,6715e921,285811842,,1860345856,1860345856,33.965
iwd,transectAnalysis,abf0d09a,281535163,,1864359936,1864359936,102.043
iwd,transectAnalysis,e5150926,268923889,,1788657664,1788657664,21.035
iwd,transectAnalysis,2e265eeb,283708653,,1859502080,1859502080,17.457
iwd,transectAnalysis,b1c9bdff,264199876,,1772474368,1772474368,10.686
iwd,transectAnalysis,40e2d4fd,287678937,,1858359296,1858359296,41.092
iwd,transectAnalysis,cf9e581e,289428598,,1867079680,1867079680,259.867
iwd,transectAnalysis,c3488106,280439860,,1842892800,1842892800,15.86
iwd,transectAnalysis,14fb285a,269962076,,1794387968,1794387968,51.946
iwd,transectAnalysis,6f2ae5cd,280757857,,1877831680,1877831680,32.002
iwd,transectAnalysis,66f5f684,282744544,,1849012224,1849012224,40.398
iwd,transectAnalysis,c0b03d9b,282026145,,1850286080,1850286080,118.311
iwd,transectAnalysis,40702722,276263522,,1821675520,1821675520,85.275
iwd,transectAnalysis,fcf36ed8,266384995,,1776050176,1776050176,57.433
iwd,transectAnalysis,3d62da08,288273945,,1878933504,1878933504,281.714
iwd,transectAnalysis,1b1995df,279111329,,1835933696,1835933696,19.236
iwd,transectAnalysis,7c476ef3,273312939,,1812758528,1812758528,9.237
iwd,transectAnalysis,ca0b3a64,268677563,,1793097728,1793097728,6.51
iwd,transectAnalysis,e86bf7b9,268306477,,1784467456,1784467456,24.411
iwd,transectAnalysis,c7a18025,275518766,,1836425216,1836425216,15.542
iwd,transectAnalysis,791ff51f,267410894,,1784098816,1784098816,8.254
iwd,transectAnalysis,a6a2624d,262193011,,1756401664,1756401664,7.264
iwd,transectAnalysis,979e493d,262615143,,1750642688,1750642688,4.1
iwd,transectAnalysis,5aa61e01,285238836,,1857875968,1857875968,47.601
iwd,transectAnalysis,e5b1c74e,280765722,,1846231040,1846231040,14.397
iwd,transectAnalysis,6f5d0b88,260944309,,1748180992,1748180992,3.001
iwd,transectAnalysis,b946375c,263735619,,1760395264,1760395264,79.334
iwd,transectAnalysis,dbb0b220,268026880,,1788100608,1788100608,24.276
iwd,transectAnalysis,dc9a3759,180578225,,1248047104,1248047104,170.825
iwd,transectAnalysis,0a18d1c3,262829762,,1757569024,1757569024,18.62
iwd,transectAnalysis,9ead2551,280414331,,1845170176,1845170176,28.596
iwd,transectAnalysis,d81cc81a,281374173,,1848942592,1848942592,59.695
iwd,transectAnalysis,599118f1,264866283,,1772310528,1772310528,23.146
iwd,transectAnalysis,e7ba842a,262654138,,1760747520,1760747520,15.762
iwd,transectAnalysis,da7d455d,266830124,,1779597312,1779597312,21.924
iwd,transectAnalysis,b102cdea,259816734,,1529602048,1529602048,3.22
iwd,transectAnalysis,81688951,268386976,,1791254528,1791254528,10.603
iwd,transectAnalysis,7e941c9f,283115872,,1850916864,1850916864,155.338
iwd,transectAnalysis,68a0167a,279844041,,1839210496,1839210496,23.23
