process,task_hash,task_name,work_dir,wrapper_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_realtime_ms,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem_kb,trace_rss_kb,trace_peak_vmem_kb,trace_peak_rss_kb,trace_vol_ctxt,trace_inv_ctxt
BASICPY,9fa4e32cf372b9cac795da898f509a66,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0289_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/9f/a4e32cf372b9cac795da898f509a66,303873,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_9fa4e32cf372b9cac795da898f509a66/ebpf_attribution_304043.tsv,4326,1885074210,33214464,1918288674,30033,1881772370,711269,49339,124,181874688,819200,34786100,1068120,34786100,1068120,12075,2594
BASICPY,9fb418f06afb7b3c6de7a97d031cd12a,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0170_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/9f/b418f06afb7b3c6de7a97d031cd12a,205060,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_9fb418f06afb7b3c6de7a97d031cd12a/ebpf_attribution_205188.tsv,4327,1885548631,33972224,1919520855,33760,1882027751,712273,49439,117,181889024,720896,34874816,1074912,34932172,1074912,12617,2984
BASICPY,9ff92fd84ed69285c69063c1cc05e3d7,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0037_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/9f/f92fd84ed69285c69063c1cc05e3d7,1781287,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_9ff92fd84ed69285c69063c1cc05e3d7/ebpf_attribution_1781645.tsv,4325,1885332002,33161216,1918493218,31284,1882030079,712286,49440,117,181883904,720896,34783408,1065528,34783408,1065528,11853,2542
BASICPY,a0324b2e181436889dcc246bbcc71ad8,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0175_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a0/324b2e181436889dcc246bbcc71ad8,205734,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a0324b2e181436889dcc246bbcc71ad8/ebpf_attribution_205985.tsv,4327,1885294174,33849344,1919143518,37684,1881773167,711385,49439,117,181888000,720896,34783272,1065048,34783272,1065048,12239,2790
BASICPY,a0667a9b48ee5e10d13ba877b5c71a9e,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0279_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a0/667a9b48ee5e10d13ba877b5c71a9e,2020704,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a0667a9b48ee5e10d13ba877b5c71a9e/ebpf_attribution_2021464.tsv,4329,1885768969,34770944,1920539913,39133,1882028166,712286,49338,117,181888000,720896,34785524,1064512,34813316,1064512,13447,3710
BASICPY,a08c894cd2951770e47886cf17490758,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0299_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a0/8c894cd2951770e47886cf17490758,2049239,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a08c894cd2951770e47886cf17490758/ebpf_attribution_2049874.tsv,4330,1885642133,34385920,1920028053,35833,1882030183,712170,49440,124,181893120,835584,34785548,1067248,34785564,1067248,13058,3985
BASICPY,a106e7ad861e64ab6705bc55979b9b98,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0312_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a1/06e7ad861e64ab6705bc55979b9b98,325788,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a106e7ad861e64ab6705bc55979b9b98/ebpf_attribution_326044.tsv,4327,1885294078,33980416,1919274494,34435,1881773343,711385,49439,117,181883904,720896,34784360,1063124,34784360,1063124,12248,2852
BASICPY,a108dd9ad8fbe1b2e8fb6b0c4d93d010,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0073_1),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a1/08dd9ad8fbe1b2e8fb6b0c4d93d010,1678450,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a108dd9ad8fbe1b2e8fb6b0c4d93d010/ebpf_attribution_1678889.tsv,4323,1885113010,32321536,1917434546,25881,1882030197,712286,49440,117,181877760,720896,34784620,1064496,34784636,1064496,12289,3028
BASICPY,a15335ec8a162d6dd18b4ea519539d2c,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0247_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a1/5335ec8a162d6dd18b4ea519539d2c,281003,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a15335ec8a162d6dd18b4ea519539d2c/ebpf_attribution_281278.tsv,4325,1885075391,33259520,1918334911,29900,1881773617,711385,49440,117,181883904,720896,34784024,1066568,34784024,1066568,12456,2572
BASICPY,a165690d2c5e6434212a8407cb86a1d9,NFCORE_MCMICRO:MCMICRO:BASICPY (PUBLIC_0416_2),/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/work/a1/65690d2c5e6434212a8407cb86a1d9,2225191,/shared/mcmicro_slurm_runs/mcmicro_slurm_public_5k_1/results/ebpf/BASICPY/task_a165690d2c5e6434212a8407cb86a1d9/ebpf_attribution_2225436.tsv,4327,1885295383,33828864,1919124247,37091,1881773887,711398,49339,117,181875712,720896,34783272,1062384,34783272,1062384,11904,2795
