process,task_hash,task_name,work_dir,wrapper_pid,launch_pid,audit_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_task_id,trace_native_id,trace_tag,trace_status,trace_exit,trace_attempt,trace_cpus,trace_time,trace_memory,trace_duration,trace_realtime,trace_queue,trace_cpu_pct,trace_mem_pct,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem,trace_rss,trace_peak_vmem,trace_peak_rss
FLAGSTAT_BAM,e9a2ca99bac7a1989e2418188986b4f3,FLAGSTAT_BAM (window_1176),/shared/minimap2_audit_nf/work/e9/a2ca99bac7a1989e2418188986b4f3,91228,91293,91296,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_e9a2ca99bac7a1989e2418188986b4f3/ebpf_attribution_91293.tsv,1378,1533221,1523712,3056933,4932,78255,window_1176,COMPLETED,0,1,1,1h,1 GB,1m 3s,43ms,compute,52.7%,0.0%,162.3 KB,652 B,221,13,16 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,e9cea0fdd39606e1e1b525feeefac204,FLAGSTAT_BAM (window_1164),/shared/minimap2_audit_nf/work/e9/cea0fdd39606e1e1b525feeefac204,1231071,1231233,1231237,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_e9cea0fdd39606e1e1b525feeefac204/ebpf_attribution_1231233.tsv,1423,1586003,1536000,3122003,4918,78241,window_1164,COMPLETED,0,1,1,1h,1 GB,1m 3s,48ms,compute,48.5%,0.0%,169 KB,671 B,221,13,16 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,e9f2bca5a839e64d533ea9839fa7936f,FLAGSTAT_BAM (window_361),/shared/minimap2_audit_nf/work/e9/f2bca5a839e64d533ea9839fa7936f,69406,70600,70636,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_e9f2bca5a839e64d533ea9839fa7936f/ebpf_attribution_70600.tsv,1137,1308991,1536000,2844991,4132,77455,window_361,COMPLETED,0,1,1,1h,1 GB,1m 3s,43ms,compute,40.3%,0.0%,165.8 KB,652 B,221,13,16 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,ea4d8865127badc970e82426c5073884,FLAGSTAT_BAM (window_96),/shared/minimap2_audit_nf/work/ea/4d8865127badc970e82426c5073884,62236,62691,62700,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_ea4d8865127badc970e82426c5073884/ebpf_attribution_62691.tsv,1398,1539309,1490944,3030253,3878,77200,window_96,COMPLETED,0,1,1,1h,1 GB,26.4s,46ms,compute,43.8%,0.0%,156.8 KB,652 B,221,13,4 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,eab3859da92df81971e59048da6d8e34,FLAGSTAT_BAM (window_911),/shared/minimap2_audit_nf/work/ea/b3859da92df81971e59048da6d8e34,1216414,1216841,1216872,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_eab3859da92df81971e59048da6d8e34/ebpf_attribution_1216841.tsv,1526,1675038,1540096,3215134,4667,77989,window_911,COMPLETED,0,1,1,1h,1 GB,1m 5s,52ms,compute,45.4%,0.0%,170.6 KB,671 B,221,13,20 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,eadd8c37bfc13eea2cdec3feddbfdfa6,FLAGSTAT_BAM (window_1064),/shared/minimap2_audit_nf/work/ea/dd8c37bfc13eea2cdec3feddbfdfa6,110317,110509,110528,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_eadd8c37bfc13eea2cdec3feddbfdfa6/ebpf_attribution_110509.tsv,1184,1362401,1474560,2836961,4818,78141,window_1064,COMPLETED,0,1,1,1h,1 GB,27.4s,56ms,compute,36.8%,0.0%,167.2 KB,654 B,221,13,16 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,eaead849c96d241033d43695e94cfe20,FLAGSTAT_BAM (window_1207),/shared/minimap2_audit_nf/work/ea/ead849c96d241033d43695e94cfe20,91893,92823,92845,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_eaead849c96d241033d43695e94cfe20/ebpf_attribution_92823.tsv,1141,1307229,1499136,2806365,4961,78284,window_1207,COMPLETED,0,1,1,1h,1 GB,1m,46ms,compute,33.3%,0.0%,156.3 KB,652 B,221,13,4 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,eb615cb76a296c8b10d17059950c8c64,FLAGSTAT_BAM (window_403),/shared/minimap2_audit_nf/work/eb/615cb76a296c8b10d17059950c8c64,1191963,1192322,1192324,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_eb615cb76a296c8b10d17059950c8c64/ebpf_attribution_1192322.tsv,1372,1537584,1495040,3032624,4174,77497,window_403,COMPLETED,0,1,1,1h,1 GB,1m 5s,57ms,compute,47.1%,0.0%,171.9 KB,671 B,221,13,20 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,eb651555344848e68f72dea87d6ac20d,FLAGSTAT_BAM (window_894),/shared/minimap2_audit_nf/work/eb/651555344848e68f72dea87d6ac20d,81110,81252,81254,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_eb651555344848e68f72dea87d6ac20d/ebpf_attribution_81252.tsv,1216,1378659,1495040,2873699,4650,77973,window_894,COMPLETED,0,1,1,1h,1 GB,1m 2s,44ms,compute,16.4%,0.0%,159.3 KB,652 B,221,13,12 KB,4 KB,0,0,0,0
FLAGSTAT_BAM,eb74c2cf5b3e41e6400cb983582d830d,FLAGSTAT_BAM (window_1026),/shared/minimap2_audit_nf/work/eb/74c2cf5b3e41e6400cb983582d830d,1223938,1224238,1224272,/shared/minimap2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_eb74c2cf5b3e41e6400cb983582d830d/ebpf_attribution_1224238.tsv,1333,1506664,1503232,3009896,4781,78104,window_1026,COMPLETED,0,1,1,1h,1 GB,1m 4s,51ms,compute,48.9%,0.0%,171.7 KB,671 B,221,13,20 KB,4 KB,0,0,0,0
