process,task_hash,task_name,work_dir,wrapper_pid,launch_pid,audit_pid,ebpf_tsv,ebpf_files,ebpf_read_bytes,ebpf_mmap_bytes,ebpf_total_bytes,trace_task_id,trace_native_id,trace_tag,trace_status,trace_exit,trace_attempt,trace_cpus,trace_time,trace_memory,trace_duration,trace_realtime,trace_queue,trace_cpu_pct,trace_mem_pct,trace_rchar,trace_wchar,trace_syscr,trace_syscw,trace_read_bytes,trace_write_bytes,trace_vmem,trace_rss,trace_peak_vmem,trace_peak_rss
FLAGSTAT_BAM,c3f64fee82eced5ef775334986843af3,FLAGSTAT_BAM (ERR1094271_chunk_2),/shared/bowtie2_audit_nf/work/c3/f64fee82eced5ef775334986843af3,2270307,2270577,2270584,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c3f64fee82eced5ef775334986843af3/ebpf_attribution_2270577.tsv,1493,10685809,1589248,12275057,2275,80617,ERR1094271_chunk_2,COMPLETED,0,1,1,1h,1 GB,16.8s,370ms,compute,45.90%,0.00%,8.8 MB,718 B,538,13,4 KB,4 KB,7.6 MB,3.4 MB,7.6 MB,3.4 MB
FLAGSTAT_BAM,c41c824b32712bea2bb8b5a522ff8f8a,FLAGSTAT_BAM (ERR1094274_chunk_4),/shared/bowtie2_audit_nf/work/c4/1c824b32712bea2bb8b5a522ff8f8a,2142351,2142464,2142473,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c41c824b32712bea2bb8b5a522ff8f8a/ebpf_attribution_2142464.tsv,1144,9319823,2056192,11376015,1746,80088,ERR1094274_chunk_4,COMPLETED,0,1,1,1h,1 GB,31.6s,248ms,compute,40.70%,0.00%,7.6 MB,718 B,487,13,2.6 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c43986e35870a6bee6b265fa0e3533dc,FLAGSTAT_BAM (ERR1094298_chunk_23),/shared/bowtie2_audit_nf/work/c4/3986e35870a6bee6b265fa0e3533dc,2238752,2238816,2238818,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c43986e35870a6bee6b265fa0e3533dc/ebpf_attribution_2238816.tsv,1100,8740805,2023424,10764229,2078,80420,ERR1094298_chunk_23,COMPLETED,0,1,1,1h,1 GB,10.9s,270ms,compute,44.70%,0.00%,7 MB,718 B,449,13,4 KB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c4f23958ba3ed8ce2b4186be97ab84da,FLAGSTAT_BAM (ERR1094308_chunk_41),/shared/bowtie2_audit_nf/work/c4/f23958ba3ed8ce2b4186be97ab84da,2251581,2251658,2251660,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c4f23958ba3ed8ce2b4186be97ab84da/ebpf_attribution_2251658.tsv,1285,9998527,2113536,12112063,2167,80509,ERR1094308_chunk_41,COMPLETED,0,1,1,1h,1 GB,12.9s,349ms,compute,37.80%,0.00%,8.1 MB,718 B,514,13,6.7 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c50e48a901ca4e2c896852552b3df92a,FLAGSTAT_BAM (ERR1094274_chunk_19),/shared/bowtie2_audit_nf/work/c5/0e48a901ca4e2c896852552b3df92a,2155260,2155293,2155299,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c50e48a901ca4e2c896852552b3df92a/ebpf_attribution_2155293.tsv,904,8728127,2056192,10784319,1818,80160,ERR1094274_chunk_19,COMPLETED,0,1,1,1h,1 GB,1m 23s,177ms,compute,46.90%,0.00%,7.2 MB,717 B,465,13,7 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c5166be94a28e49c81267d3827fefb03,FLAGSTAT_BAM (ERR1094305_chunk_40),/shared/bowtie2_audit_nf/work/c5/166be94a28e49c81267d3827fefb03,124599,124620,124621,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c5166be94a28e49c81267d3827fefb03/ebpf_attribution_124620.tsv,854,9984373,2052096,12036469,2757,81099,ERR1094305_chunk_40,COMPLETED,0,1,1,1h,1 GB,18.5s,176ms,compute,53.90%,0.00%,8.4 MB,701 B,507,13,8.3 MB,4 KB,13.5 MB,6.6 MB,13.5 MB,6.6 MB
FLAGSTAT_BAM,c5573f91fa8eda353165a41946ed3d56,FLAGSTAT_BAM (ERR1094291_chunk_49),/shared/bowtie2_audit_nf/work/c5/573f91fa8eda353165a41946ed3d56,2317849,2317870,2317871,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c5573f91fa8eda353165a41946ed3d56/ebpf_attribution_2317870.tsv,908,9805141,2027520,11832661,2542,80884,ERR1094291_chunk_49,COMPLETED,0,1,1,1h,1 GB,34.2s,186ms,compute,50.50%,0.00%,8.2 MB,718 B,493,13,4 KB,4 KB,13.5 MB,6.6 MB,13.5 MB,6.6 MB
FLAGSTAT_BAM,c5e40b943f0f44cac00171785226326e,FLAGSTAT_BAM (ERR1094266_chunk_24),/shared/bowtie2_audit_nf/work/c5/e40b943f0f44cac00171785226326e,2229191,2229411,2229433,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c5e40b943f0f44cac00171785226326e/ebpf_attribution_2229411.tsv,1434,11178580,2048000,13226580,2025,80367,ERR1094266_chunk_24,COMPLETED,0,1,1,1h,1 GB,11s,305ms,compute,43.30%,0.00%,9.1 MB,718 B,511,13,7.2 MB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c5fce65e6702df633b0bfbc8fd7cd810,FLAGSTAT_BAM (ERR1094307_chunk_39),/shared/bowtie2_audit_nf/work/c5/fce65e6702df633b0bfbc8fd7cd810,2307783,2307806,2307808,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c5fce65e6702df633b0bfbc8fd7cd810/ebpf_attribution_2307806.tsv,950,9491753,2052096,11543849,2490,80832,ERR1094307_chunk_39,COMPLETED,0,1,1,1h,1 GB,8.3s,185ms,compute,45.40%,0.00%,7.9 MB,717 B,510,13,4 KB,4 KB,13.5 MB,6.7 MB,13.5 MB,6.7 MB
FLAGSTAT_BAM,c6070b11d3ee6634f6e4235d31f081c5,FLAGSTAT_BAM (ERR1094298_chunk_16),/shared/bowtie2_audit_nf/work/c6/070b11d3ee6634f6e4235d31f081c5,2236305,2236401,2236405,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c6070b11d3ee6634f6e4235d31f081c5/ebpf_attribution_2236401.tsv,1040,8555776,2056192,10611968,2072,80414,ERR1094298_chunk_16,COMPLETED,0,1,1,1h,1 GB,14.6s,198ms,compute,38.20%,0.00%,6.9 MB,717 B,453,13,5.3 MB,4 KB,13.5 MB,6.6 MB,13.5 MB,6.6 MB
FLAGSTAT_BAM,c624c4a254ae0a5147247ff50d62a9b0,FLAGSTAT_BAM (ERR1094307_chunk_28),/shared/bowtie2_audit_nf/work/c6/24c4a254ae0a5147247ff50d62a9b0,2304531,2304552,2304553,/shared/bowtie2_audit_nf/results/ebpf/FLAGSTAT_BAM/task_c624c4a254ae0a5147247ff50d62a9b0/ebpf_attribution_2304552.tsv,928,9002207,2043904,11046111,2471,80813,ERR1094307_chunk_28,COMPLETED,0,1,1,1h,1 GB,34.5s,176ms,compute,41.50%,0.00%,7.4 MB,717 B,461,13,4 KB,4 KB,13.5 MB,6.6 MB,13.5 MB,6.6 MB
